P83608,1966,29.1541176470588,8,17
P91617,1983,8.14315789473684,8,19
P84025,1983,57.6986363636364,8,22
P84678,1983,17.14,8,17
N81007,1985,16.5885714285714,7,14
P91036,1980,9.74111111111111,7,9
Y03079,1964,36.4633333333333,7,12
P83009,1972,29.5675,7,12
P82020,1981,19.4944444444444,7,9
Y02960,1975,42.0857142857143,6,7
Y02660,1976,27.6564285714286,6,14
Y02790,1958,45.7511111111111,6,9
Y02887,1983,16.335,6,10
P84040,1977,62.11,6,9
P84042,1981,54.5525,6,8
P82001,1977,39.24125,6,8
Y02886,1960,18.5745454545455,6,11
P91030,1982,7.28333333333333,6,15
P82006,1988,23.5666666666667,5,9
Y03366,1976,25.17125,5,8
P84028,1981,51.9292857142857,5,14
P84070,1985,57.51875,5,16
P84631,1969,43.0125,5,8
P92623,1953,38.4066666666667,5,6
P82021,1974,39.1344444444444,5,9
Y01695,1978,53.3083333333333,5,6
P84023,1983,34.7691666666667,5,12
P84630,1985,31.9833333333333,5,18
P83020,1977,28.092,4,5
P92626,1981,45.4533333333333,4,9
N81109,1967,21.73,4,8
P82627,1965,28.966,4,5
P86012,1993,38.2566666666667,4,12
Y02325,1967,57.9216666666667,4,12
N81108,1956,9.26571428571429,4,7
P84018,1984,23.78,4,7
P84064,1976,40.6585714285714,4,7
P84688,1967,31.5866666666667,4,6
P84037,1984,39.64,4,9
P84626,1984,32.083,4,10
P84663,1979,36.98,4,9
P83007,1984,34.5025,4,12
P84640,1976,47.0466666666667,4,12
P82031,1962,26.452,4,5
P82628,1975,55.4833333333333,4,6
P92023,1964,22.6890909090909,4,11
N81089,1962,25.76,3,3
P83012,1983,9.79,3,5
P84677,1982,15.1908333333333,3,12
P84061,1970,27.61,3,5
P84071,1983,24.263,3,10
P82016,1986,27.13125,3,8
N81014,1976,10.0575,3,8
P84068,1975,19.31,3,6
P86004,1958,33.305,3,4
P86010,1980,30.51,3,6
P92633,1986,31.0875,3,4
Y02890,1967,48.4975,3,4
P84635,1978,47.91,3,3
P84054,1979,69.8411111111111,3,9
Y00050,1971,27.0433333333333,3,6
P84009,1979,44.5875,3,4
P84690,1961,59.8016666666667,3,6
Y02378,1982,24.1966666666667,3,9
P84672,1976,14.4516666666667,3,6
P84623,1992,45.13,3,3
N81634,1962,14.8028571428571,3,7
Y03083,1974,11.873,3,10
P92042,1943,18.176,3,5
P92007,1979,29.6433333333333,3,6
Y02322,1984,32.4328571428571,3,7
P84005,1992,39.964,3,10
P82616,1971,42.4866666666667,3,3
P82011,1949,57.27,3,7
P82018,1978,65.052,3,5
P84063,1979,15.5275,3,4
P84646,1976,24.795,2,2
P84661,1973,52.9566666666667,2,3
P82003,1955,18.94,2,4
P82034,1955,23.455,2,2
P84017,1983,35.218,2,5
P84041,1979,72.3266666666667,2,3
P92602,1979,20.295,2,6
P92015,1970,22.565,2,2
P92016,1956,14.545,2,4
Y02755,1968,41.475,2,2
Y02319,1963,22.2916666666667,2,6
H83014,1986,44.7,2,2
N81020,1961,9.22,2,2
N81048,1966,21.9733333333333,2,3
P82002,1962,26.0366666666667,2,3
P84022,1975,26.435,2,2
P84047,1960,58.795,2,2
P84057,1979,29.4116666666667,2,6
P88024,1985,36.6666666666667,2,3
P84039,1984,33.3075,2,12
P84616,1995,50.71,2,5
P82010,1980,27.8366666666667,2,3
P82012,1965,71.424,2,5
P82613,1959,21.9885714285714,2,7
P82625,2008,49.02,2,3
P84050,1964,62.94,2,3
P84024,1967,59.595,2,2
P82023,1960,13.05,2,3
N81124,1980,13.99,2,6
P86015,1979,43.94,2,3
P92635,1987,45.8275,2,4
P84029,1987,64.4433333333333,2,3
P84032,1980,59.7733333333333,2,3
P87626,1946,72.615,2,2
P92643,1990,8.14,2,5
P92029,1979,44.538,2,5
N81087,1989,3.35,2,3
N81065,1956,31.37,2,3
P84066,1968,42.135,2,2
P83019,1971,31.375,2,2
Y02719,1967,70.86,2,3
V81999,1988,25.4933333333333,2,3
P92621,1975,28.255,2,4
P84676,1979,30.3725,2,4
P84650,1983,25.8275,2,4
C87003,1983,60.84,2,5
P83027,1983,31.895,2,4
P82657,1998,24.4066666666667,2,3
P84605,1981,67.18,2,9
P83006,1981,14.674,2,5
P82607,1992,51.735,2,4
Y00016,1974,26.305,2,4
Y02885,2009,65.94,1,1
P92035,1971,9.485,1,2
P92639,1966,29.1,1,1
N81067,1976,8.93,1,2
P83029,1929,34.61,1,2
P84055,1982,34.94,1,1
P84627,1993,44.052,1,5
P86003,1977,7.58,1,1
P86023,1929,34.23,1,1
N81645,1959,32.62,1,1
P82029,1967,34.75,1,1
P82633,1926,44.88,1,1
P86620,1974,60.94,1,1
P91632,1986,36.475,1,4
P92005,1966,40.54,1,1
P92651,1961,40.4233333333333,1,3
P83017,1944,17.9933333333333,1,3
P86018,1967,52.33,1,1
P82036,1980,23.39,1,3
P87029,1998,58.21,1,1
P92634,1989,43.61,1,1
W91030,1957,68.31,1,1
P92648,1978,20.265,1,2
P87611,1972,9.03,1,1
P82629,1964,51.49,1,1
P83005,1974,40.89,1,1
P84067,1941,31.9466666666667,1,3
P84611,1988,53.54,1,1
P82014,1979,21.0125,1,4
N81041,1947,44.1433333333333,1,3
N81114,1945,24.93,1,2
P84014,1983,62.48,1,2
P84026,1963,49.58,1,1
P86602,1965,15.3,1,1
P86605,1986,20.49,1,1
P86622,1978,61.93,1,1
P84679,1970,46.87,1,2
P84684,1941,43.0266666666667,1,3
N84017,1989,71.7,1,1
P82005,1962,9.57333333333333,1,3
N81107,1954,15.23,1,4
N81042,1976,10.92,1,1
P84052,1988,44.265,1,2
N83002,1967,18.06,1,1
N81033,1985,8.5,1,3
N81083,1995,57.75,1,1
P92010,1980,49.43,1,1
P92017,1955,16.54,1,1
P92619,1985,32.04,1,3
P82033,1969,45.86,1,1
P83008,1955,29.93,1,2
P84016,1984,39.78,1,1
P84020,1983,49.72,1,1
P92014,1967,19.585,1,2
P92632,1971,26.34,1,3
Y02623,1960,35.23,1,2
P83603,1975,20.9625,1,4
N81034,1963,6.05,1,1
P84689,1980,37.09,1,3
P84051,1982,42.58,1,2
C82034,1971,9.45,0,1
P84048,1990,30.4,0,1
Y00726,1987,33.58,0,1
N81628,1986,42.38,0,2
P84639,1962,29.655,0,2
P84662,1989,37.46,0,1
N81623,1972,10.93,0,1
P82004,1975,30.76,0,2
P83015,1989,32.575,0,2
P84638,1982,16.05,0,1
N81017,1970,11.62,0,1
P85612,1973,34.2,0,1
